id,name,city,category,rating,estimated_cost,duration_hours,popularity,tags,description,latitude,longitude
1,Pine Forest Trail Premium - Da,Da Lat,nature,4.6,64196,2.7,0.77,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,12.003149,108.39221
2,Central Market - Da,Da Lat,shopping,4.3,49123,1.4,0.32,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",11.892214,108.482282
3,Fashion District Old Town - Da,Da Lat,shopping,4.8,308944,1.6,0.83,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",11.885945,108.445918
4,Neon District Central - Da,Da Lat,nightlife,3.6,500290,2.7,0.37,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",11.995999,108.474896
5,Heritage Roastery Riverside - Da,Da Lat,cafe,4.1,46361,2.0,0.69,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,11.993105,108.477263
6,Hidden Cove Central - Da,Da Lat,beach,4.5,184699,2.3,0.84,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",12.018035,108.515151
7,Misty Hills Premium - Da,Da Lat,nature,4.0,118858,3.9,0.56,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,11.893921,108.421016
8,Mountain Lookout Central - Da,Da Lat,nature,3.7,140021,4.2,0.57,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,12.018724,108.4807
9,Riverside Dining - Da,Da Lat,food,4.7,170087,2.2,0.58,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,11.87099,108.524402
10,Island Hop Point Old Town - Da,Da Lat,beach,4.5,103712,5.5,0.4,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",11.882741,108.497498
11,Urban Night Walk Old Town - Da,Da Lat,nightlife,4.0,570717,3.2,1.0,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",11.882533,108.457263
12,The Married Beans Central - Da,Da Lat,cafe,4.5,112240,0.7,0.72,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,11.921963,108.473642
13,Cable Car Adventure Premium - Da,Da Lat,adventure,3.5,730099,5.4,0.8,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,11.969474,108.464215
14,Night Bazaar - Da,Da Lat,nightlife,4.2,253878,2.9,0.97,"nightlife,entertainment,social","Vibrant evening venue with music, drinks, and city atmosphere.",12.000536,108.420442
15,Colonial Archive - Da,Da Lat,museum,4.5,101959,1.9,0.73,"museum,culture,history",Cultural landmark showcasing local history and art collections.,11.884854,108.500302
16,Artisan Latte House Premium - Da,Da Lat,cafe,4.9,94042,0.5,0.92,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,11.993466,108.427502
17,Cong Caphe Riverside - Da,Da Lat,cafe,4.2,40322,0.6,0.35,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,11.982096,108.500834
18,Cultural Pavilion Riverside - Da,Da Lat,museum,4.8,41643,1.9,0.6,"museum,culture,history",Cultural landmark showcasing local history and art collections.,11.894288,108.464587
19,BBQ Garden Old Town - Da,Da Lat,food,4.8,390723,1.6,0.62,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,11.900065,108.388544
20,Artisan Latte House Riverside - Da,Da Lat,cafe,3.5,60161,1.4,0.8,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,11.86982,108.389084
21,Morning Brew - Da,Da Lat,cafe,4.5,97391,0.9,0.45,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,11.88157,108.527982
22,ATV Trail Old Town - Da,Da Lat,adventure,3.6,576833,2.8,0.6,"adventure,thrill,nature",Thrilling outdoor activity for adrenaline seekers and explorers.,11.928173,108.453024
23,The Married Beans - Da,Da Lat,cafe,4.7,82772,1.6,0.38,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,11.891054,108.464106
24,Science Discovery Central - Da,Da Lat,museum,4.8,56509,2.2,0.35,"museum,culture,history",Cultural landmark showcasing local history and art collections.,11.989684,108.515255
25,Pine Forest Trail Riverside - Ho,Ho Chi Minh,nature,4.9,3868,4.9,0.89,"nature,adventure,photography",Scenic natural spot ideal for hiking and fresh air experiences.,10.76971,106.627403
26,Traditional Kitchen - Ho,Ho Chi Minh,food,5.0,136317,1.6,0.49,"food,local,culture",Authentic local cuisine destination loved by food enthusiasts.,10.868551,106.622501
27,Modern Plaza Old Town - Ho,Ho Chi Minh,shopping,3.8,81158,1.4,0.34,"shopping,souvenir,local","Bustling market area for souvenirs, crafts, and local products.",10.860818,106.559453
28,Golden Sand Beach - Ho,Ho Chi Minh,beach,4.9,153138,3.9,0.67,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",10.752201,106.630953
29,Fine Arts Gallery Riverside - Ho,Ho Chi Minh,museum,3.9,28907,2.5,0.38,"museum,culture,history",Cultural landmark showcasing local history and art collections.,10.885546,106.589094
30,Artisan Latte House - Ho,Ho Chi Minh,cafe,4.3,84948,1.5,0.52,"cafe,relax,photography",Cozy café perfect for coffee lovers and relaxed mornings.,10.784823,106.656856
31,Island Hop Point Premium - Ho,Ho Chi Minh,beach,4.5,103752,2.5,0.62,"beach,nature,photography","Beautiful coastal area for swimming, sunbathing, and water activities.",10.891743,106.699417
